2013-12-09 18:21:42 status config-files libudev0:amd64 175-7.2
2013-12-09 18:21:42 status config-files libudev0:amd64 175-7.2
2013-12-09 18:21:42 status config-files libudev0:amd64 175-7.2
2013-12-09 18:21:42 status not-installed libudev0:amd64 <none>
2013-12-09 18:21:42 trigproc libc-bin:amd64 2.17-97 <none>
2013-12-09 18:21:42 status half-configured libc-bin:amd64 2.17-97
2013-12-09 18:21:43 status installed libc-bin:amd64 2.17-97
2013-12-09 18:22:38 startup packages purge
2013-12-09 18:22:38 status installed deborphan:amd64 1.7.28.8
2013-12-09 18:22:39 remove deborphan:amd64 1.7.28.8 <none>
2013-12-09 18:22:39 status half-configured deborphan:amd64 1.7.28.8
2013-12-09 18:22:39 status half-installed deborphan:amd64 1.7.28.8
2013-12-09 18:22:39 status triggers-pending man-db:amd64 2.6.5-2
2013-12-09 18:22:39 status config-files deborphan:amd64 1.7.28.8
2013-12-09 18:22:39 purge deborphan:amd64 1.7.28.8 <none>
2013-12-09 18:22:39 status config-files deborphan:amd64 1.7.28.8
2013-12-09 18:22:39 status config-files deborphan:amd64 1.7.28.8
2013-12-09 18:22:39 status config-files deborphan:amd64 1.7.28.8
2013-12-09 18:22:39 status config-files deborphan:amd64 1.7.28.8
2013-12-09 18:22:39 status config-files deborphan:amd64 1.7.28.8
2013-12-09 18:22:39 status not-installed deborphan:amd64 <none>
2013-12-09 18:22:40 trigproc man-db:amd64 2.6.5-2 <none>
2013-12-09 18:22:40 status half-configured man-db:amd64 2.6.5-2
2013-12-09 18:22:43 status installed man-db:amd64 2.6.5-2
2013-12-09 19:49:21 startup archives install
2013-12-09 19:49:22 install net-tools:amd64 <none> 1.60-25
2013-12-09 19:49:22 status half-installed net-tools:amd64 1.60-25
2013-12-09 19:49:22 status triggers-pending man-db:amd64 2.6.5-2
2013-12-09 19:49:25 status unpacked net-tools:amd64 1.60-25
2013-12-09 19:49:25 status unpacked net-tools:amd64 1.60-25
2013-12-09 19:49:25 configure net-tools:amd64 1.60-25 1.60-25
2013-12-09 19:49:25 status unpacked net-tools:amd64 1.60-25
2013-12-09 19:49:25 status half-configured net-tools:amd64 1.60-25
2013-12-09 19:49:26 status installed net-tools:amd64 1.60-25
2013-12-09 19:49:26 trigproc man-db:amd64 2.6.5-2 2.6.5-2
2013-12-09 19:49:26 status half-configured man-db:amd64 2.6.5-2
2013-12-09 19:49:28 status installed man-db:amd64 2.6.5-2
2013-12-09 21:25:36 startup archives install
2013-12-09 21:27:04 startup archives install
2013-12-09 21:27:04 upgrade libssl1.0.0:amd64 1.0.1e-4 1.0.1e-4
2013-12-09 21:27:04 status half-configured libssl1.0.0:amd64 1.0.1e-4
2013-12-09 21:27:04 status unpacked libssl1.0.0:amd64 1.0.1e-4
2013-12-09 21:27:04 status half-installed libssl1.0.0:amd64 1.0.1e-4
2013-12-09 21:27:05 status half-installed libssl1.0.0:amd64 1.0.1e-4
2013-12-09 21:27:05 status unpacked libssl1.0.0:amd64 1.0.1e-4
2013-12-09 21:27:05 status unpacked libssl1.0.0:amd64 1.0.1e-4
2013-12-09 21:27:05 configure libssl1.0.0:amd64 1.0.1e-4 1.0.1e-4
2013-12-09 21:27:05 status unpacked libssl1.0.0:amd64 1.0.1e-4
2013-12-09 21:27:05 status half-configured libssl1.0.0:amd64 1.0.1e-4
2013-12-09 21:27:06 status installed libssl1.0.0:amd64 1.0.1e-4
2013-12-09 21:27:06 status triggers-pending libc-bin:amd64 2.17-97
2013-12-09 21:27:06 trigproc libc-bin:amd64 2.17-97 2.17-97
2013-12-09 21:27:06 status half-configured libc-bin:amd64 2.17-97
2013-12-09 21:27:06 status installed libc-bin:amd64 2.17-97
2013-12-09 21:31:18 startup archives install
2013-12-09 21:31:18 upgrade libuuid1:amd64 2.20.1-5.5 2.20.1-5.3
2013-12-09 21:31:18 status half-configured libuuid1:amd64 2.20.1-5.5
2013-12-09 21:31:18 status unpacked libuuid1:amd64 2.20.1-5.5
2013-12-09 21:31:18 status half-installed libuuid1:amd64 2.20.1-5.5
2013-12-09 21:31:18 status half-installed libuuid1:amd64 2.20.1-5.5
2013-12-09 21:31:18 status unpacked libuuid1:amd64 2.20.1-5.3
2013-12-09 21:31:18 status unpacked libuuid1:amd64 2.20.1-5.3
